Generation,Best_Fitness,Avg_Fitness,Num_Agents,Epsilon
1,736.0100000000025,119.77600000000048,5,0.1
2,661.7000000000005,112.04800000000009,5,0.1
3,599.6400000000008,151.36200000000014,5,0.1
4,571.1400000000008,149.3360000000001,5,0.1
5,125.20999999999987,51.30799999999995,5,0.1
6,625.0600000000009,130.02000000000015,5,0.1
7,295.2700000000001,19.788000000000018,15,0.1
8,563.2000000000007,8.908750000000047,16,0.1
9,566.3500000000013,22.375625000000085,16,0.1
10,589.3200000000006,84.70625000000011,16,0.1
11,1160.200000000009,192.76187500000069,16,0.1
12,634.4900000000019,98.07500000000019,16,0.1
13,655.1100000000018,100.70000000000012,16,0.1
14,1131.0500000000065,126.9468750000004,16,0.1
15,652.3399999999999,90.05062500000007,16,0.1
16,801.9300000000031,132.3593750000002,16,0.1
17,568.1300000000015,230.92750000000026,16,0.1
18,636.6899999999999,166.85375,16,0.1
19,1045.0900000000047,226.80875000000037,16,0.1
20,601.5300000000004,192.80750000000012,16,0.1
